system,component,station,head,crps_mean,crps_se,n_crps,n_seeds_crps,nll_mean,nll_se,n_nll,n_seeds_nll,n_censored_excl_crps,crps_paired_diff,crps_paired_se,n_seeds_paired_crps,nll_paired_diff,nll_paired_se,n_seeds_paired_nll
RefSim-M,processing,M3.1,,7.275291236817983,0.014039894546471851,232416,10,3.9590453347631174,0.0018846049139878325,232416,10,0,5.916619485127872,0.014099231395525203,10.0,1.7890773980469021,0.002963655149947689,10.0
RefSim-M,processing,M3.2,,5.4708130923395055,0.013841976901660917,170867,10,3.7019960870274056,0.0027213488138550404,170867,10,0,4.29120945094734,0.013580878152496657,10.0,1.6191906491752974,0.0030196790799931067,10.0
RefSim-M,processing,M4.1,,5.666942608109249,0.009621264096312619,232414,10,3.7023531402726384,0.0016267245098742999,232414,10,0,4.718553101863349,0.009518238107962984,10.0,1.881298315828267,0.002697794443799066,10.0
RefSim-M,processing,M4.2,,4.564453713003968,0.010525300311363629,170868,10,3.5197875482721104,0.0023204924192617906,170868,10,0,3.7179626666607675,0.010639055504722234,10.0,1.7631130701484452,0.003005111254248364,10.0
RefSim-M,processing,M5,,24.19926168772051,0.052349300521394575,108425,10,5.172679518191537,0.0021882536058843442,108425,10,0,9.823900908511416,0.03802535554343822,10.0,0.7021750161194288,0.0027812081448617986,10.0
RefSim-M,processing,POOLED,,6.373212791176323,0.0059862302183070325,1721584,10,3.7085770321080025,0.0010340986235176902,1721584,10,0,4.470287973408487,0.005985805940031799,10.0,1.6028931351918363,0.0015403093045490432,10.0
RefSim-M,survival,M1.1,,23997.035884404173,261.3988489186989,164,10,11.723487361628822,0.0075612335334121015,174,10,10,13591.44170897765,1209.0639864952282,10.0,1.4113782233719452,0.1094037884778156,10.0
RefSim-M,survival,M1.2,,37288.41268559246,291.25393566532506,131,10,11.966454344723225,0.008251511747744073,141,10,10,20827.45432566041,1631.4821452040553,10.0,1.4519784846254302,0.08570853689781227,10.0
RefSim-M,survival,M2.1,,59598.60781484664,1017.9205842440844,54,10,11.338062505864709,0.029931367646088138,64,10,10,36765.214811989834,3381.4178837228683,10.0,1.3716054527675474,0.09972789121788464,10.0
RefSim-M,survival,M2.2,,60752.78745439934,1614.7295285282455,60,10,11.498902147383221,0.03854133447271494,70,10,10,35316.03493751724,3838.065084394234,10.0,1.316422809676474,0.10898765300889046,10.0
RefSim-M,survival,M3.1,,42412.25370587844,667.9249229896338,129,10,12.085921728109678,0.006135695933442127,139,10,10,23127.319754936063,2775.823452654878,10.0,1.3214756391474733,0.1248320899360017,10.0
RefSim-M,survival,M3.2,,36079.50062996076,845.6958848313008,106,10,11.764991719924542,0.009815023862227745,116,10,10,19596.52814526472,2355.3008365544256,10.0,1.2657411015177027,0.14316192345167678,10.0
RefSim-M,survival,M4.1,,43415.769332563556,698.4772918586636,94,10,11.789191741979547,0.007454807348682507,104,10,10,25611.283738796683,1615.4560237045957,10.0,1.4009894936948168,0.0647192617873852,10.0
RefSim-M,survival,M4.2,,51097.563622654714,1693.7719737300004,58,10,11.179211586850053,0.05107476010316045,68,10,10,23592.62416160629,5334.6971640982765,10.0,1.183602418765453,0.15291194682603831,10.0
RefSim-M,survival,M5,,62647.72322401402,1203.8035226005359,46,10,11.266041717827168,0.2567729597463911,55,10,9,37543.71803835895,5122.581386167465,10.0,1.2798288065849044,0.19880227420951466,10.0
RefSim-M,survival,POOLED,,41505.69884199683,413.7126387921647,842,10,11.71958925685006,0.017133462080720807,931,10,89,22569.521962306684,579.1657238796014,10.0,1.3251408811344645,0.03386467933691226,10.0
RefSim-M,repair,M1.1,,964.3777515777562,70.42705373018634,174,10,8.552415972355034,0.09162049243825578,174,10,0,43.822721663930736,14.543882319382636,10.0,0.06541361958551697,0.02036764154288549,10.0
RefSim-M,repair,M1.2,,701.3493275981511,75.09020146203648,141,10,8.222735725925368,0.1051425503252903,141,10,0,9.169276114093549,10.511659858561208,10.0,0.010802306531996386,0.0239398559311929,10.0
RefSim-M,repair,M2.1,,1420.627361148455,164.03599011044201,64,10,8.976096950601496,0.11622590485310376,64,10,0,21.38087493548186,25.88844587502789,10.0,0.02680633453814334,0.022962408549824,10.0
RefSim-M,repair,M2.2,,1602.0554892738191,286.8578167163836,70,10,9.03788244701072,0.14607346232782023,70,10,0,51.764845866319625,36.86810830412003,10.0,0.025229538672293474,0.02587246339610123,10.0
RefSim-M,repair,M3.1,,1061.621768959005,103.76508834316155,139,10,8.562165646997782,0.11875669504433702,139,10,0,26.553352266139473,15.512194778619184,10.0,0.03582236345893284,0.02063444191731254,10.0
RefSim-M,repair,M3.2,,1228.2591407026919,64.53538028038402,116,10,8.797608400518438,0.08336746474078686,116,10,0,35.274210123573525,18.34680565111668,10.0,0.03535799386002072,0.016778637028251324,10.0
RefSim-M,repair,M4.1,,356.51637944408606,43.08501190573649,104,10,7.604151575784994,0.11837169102982849,104,10,0,-2.0178134167613395,10.744193035808548,10.0,0.0024060000218287135,0.029712166159502923,10.0
RefSim-M,repair,M4.2,,823.2166470617631,139.71147185869273,68,10,8.40608923245597,0.17756642412804877,68,10,0,66.53706414228486,25.90096974974453,10.0,0.10410570151519556,0.039972295081858525,10.0
RefSim-M,repair,M5,,2415.6729790865647,563.9566969915231,56,10,9.53329656422451,0.22267160955538393,56,10,0,49.60463370551813,50.840108885792574,10.0,0.029936168431016697,0.028341703208344532,10.0
RefSim-M,repair,POOLED,,1052.9389674078918,52.101308292507824,932,10,8.533856038381023,0.052653439330193764,932,10,0,32.25290165308046,8.729713288548197,10.0,0.038936097273026424,0.011178709171294047,10.0
RefSim-V,processing,M1.1,,2.586805564730164,0.0030357594620850125,201008,10,2.909909959961465,0.0010601904753837434,201008,10,0,1.7587335321292006,0.0029934414558248456,10.0,1.1641589404458141,0.0017797057245484123,10.0
RefSim-V,processing,M1.2,,3.398338695917613,0.0054802287521517985,202296,10,3.186786609397744,0.0014982109844993894,202296,10,0,2.1015977712484544,0.005394638204020011,10.0,1.0235409137464622,0.002304028658496265,10.0
RefSim-V,processing,M2.1,,2.7820507761088074,0.005294474540554678,200996,10,2.9802369998772322,0.0017028889142594527,200996,10,0,1.8879107909390451,0.004662299938106666,10.0,1.1697869902515317,0.0014963940311260445,10.0
RefSim-V,processing,M2.2,,2.8866602072724405,0.004327359289669969,202294,10,3.017711875407408,0.001308865763210286,202294,10,0,1.7675794797534778,0.005565004107265298,10.0,1.0189553680084356,0.002518706735050126,10.0
RefSim-V,processing,M3.1,,3.682096965556043,0.005010607414248022,232416,10,3.2556149168743005,0.0012169097419736914,232416,10,0,2.323425213865931,0.005140853206588934,10.0,1.085646980158085,0.002632478671554574,10.0
RefSim-V,processing,M3.2,,3.4533985650822623,0.008360911537735572,170867,10,3.1978904385817177,0.002194253222973636,170867,10,0,2.2737949236900965,0.0071293151423613334,10.0,1.1150850007296094,0.0012266493164318879,10.0
RefSim-V,processing,M4.1,,2.5597711229198805,0.004910215458705817,232414,10,2.890384249123864,0.001741785131884597,232414,10,0,1.611381616673981,0.0032852689660216633,10.0,1.0693294246794927,0.0014745286369284652,10.0
