station,t_op_s,h_true
M2.2,160891.6915118684,7.113110546362281e-07
M2.2,163405.62419174134,7.923505674148716e-07
M2.2,165919.5568716143,8.826228941482479e-07
M2.2,168433.48955148723,9.831799273095417e-07
M2.2,170947.4222313602,1.0951934012512001e-06
M2.2,173461.35491123312,1.2199685457639933e-06
M2.2,175975.28759110608,1.358959295183102e-06
M2.2,178489.220270979,1.5137852302643001e-06
M2.2,181003.15295085197,1.6862504502444174e-06
M2.2,183517.0856307249,1.8783645949914897e-06
M2.2,186031.01831059786,2.0923662622038926e-06
M2.2,188544.9509904708,2.330749092525844e-06
M2.2,191058.88367034373,2.596290826534399e-06
M2.2,193572.8163502167,2.8920856721826456e-06
M2.2,196086.74903008962,3.2215803598585405e-06
M2.2,198600.68170996258,3.5886143051888315e-06
M2.2,201114.6143898355,3.9974643475823155e-06
M2.2,203628.54706970847,4.452894585825616e-06
M2.2,206142.4797495814,4.960211891437461e-06
M2.2,208656.41242945436,5.525327746647249e-06
M2.2,211170.3451093273,6.154827127561005e-06
M2.2,213684.27778920025,6.856045235171338e-06
M2.2,216198.21046907318,7.637152968314576e-06
M2.2,218712.1431489461,8.507252134543189e-06
M2.2,221226.07582881907,9.476481508352162e-06
M2.2,223740.008508692,1.055613497259563e-05
M2.2,226253.94118856496,1.1758793119729675e-05
M2.2,228767.8738684379,1.309846984635539e-05
M2.2,231281.80654831085,1.4590775649246732e-05
M2.2,233795.73922818378,1.625309952565853e-05
M2.2,236309.67190805674,1.8104811597497173e-05
M2.2,238823.60458792967,2.0167488820418532e-05
M2.2,241337.53726780263,2.2465166407914062e-05
M2.2,243851.46994767556,2.5024617900088012e-05
M2.2,246365.4026275485,2.7875667140609043e-05
M2.2,248879.33530742145,3.1051535797128024e-05
M2.2,251393.26798729438,3.458923047462007e-05
M2.2,253907.20066716734,3.8529973932466396e-05
M2.2,256421.13334704028,4.291968543000208e-05
M2.2,258935.06602691323,4.7809515797729014e-05
M2.2,261448.99870678617,5.325644346907278e-05
M2.2,263962.9313866591,5.9323938417909516e-05
M2.2,266476.86406653206,6.60827017383479e-05
M2.2,268990.796746405,7.36114894846749e-05
M2.2,271504.7294262779,8.199803037120595e-05
M2.2,274018.6621061509,9.134004802547883e-05
M2.2,276532.59478602384,0.00010174639970652828
M2.2,279046.5274658968,0.00011333834475708711
M2.2,281560.4601457697,0.0001262509575702669
M2.2,284074.39282564266,0.00014063470153522482
M2.2,286588.3255055156,0.00015665718230211434
M2.2,289102.2581853886,0.00017450510079612837
M2.2,291616.1908652615,0.00019438642873800672
M2.2,294130.12354513444,0.0002165328320211174
M2.2,296644.0562250074,0.00024120237018335702
M2.2,299157.9889048803,0.0002686825034292962
M2.2,301671.92158475326,0.00029929344224170133
M2.2,304185.8542646262,0.0003333918786135567
M2.2,306699.7869444992,0.00037137514237854446
M2.2,309213.7196243721,0.0004136858310713382
M2.2,311727.65230424504,0.0004608169672668733
M2.2,314241.584984118,0.0005133177434941439
M2.2,316755.51766399096,0.0005717999216667757
M2.2,319269.45034386386,0.000636944961599326
M2.2,321783.3830237368,0.0007095119616738846
M2.2,324297.3157036098,0.000790346504185076
M2.2,326811.2483834827,0.0008803905084332829
M2.2,329325.18106335565,0.0009806932063786487
M2.2,331839.1137432286,0.0010924233687488883
M2.2,334353.04642310156,0.0012168829240649373
M2.2,336866.97910297447,0.0013555221292791818
M2.2,339380.9117828474,0.0015099564688012014
M2.2,341894.8444627204,0.001681985478825783
M2.2,344408.77714259335,0.0018736137163125528
M2.2,346922.70982246625,0.0020870741169568283
M2.2,349436.6425023392,0.0023248540143290097
M2.2,351950.57518221217,0.002589724123368793
M2.2,354464.50786208507,0.002884770825962547
M2.2,356978.440541958,0.0032134321348095034
M2.2,359492.373221831,0.0035795377546432613
M2.2,362006.30590170395,0.0039873537076195635
M2.2,364520.23858157685,0.0044416320428646945
M2.2,367034.1712614498,0.004947666209421905
M2.2,369548.10394132277,0.005511352737825385
M2.2,372062.03662119573,0.006139259949042606
M2.2,374575.96930106863,0.006838704491411339
M2.2,377089.9019809416,0.007617836597413159
M2.2,379603.83466081455,0.00848573505373253
M2.2,382117.76734068745,0.009452512991233878
M2.2,384631.7000205604,0.010529435727567777
M2.2,387145.6327004334,0.011729052035559162
M2.2,389659.56538030633,0.01306534036697443
M2.2,392173.49806017923,0.014553871735530492
M2.2,394687.4307400522,0.016211991157129315
M2.2,397201.36341992515,0.018059019761538318
M2.2,399715.2960997981,0.02011647993061086
M2.2,402229.228779671,0.02240834608645422
M2.2,404743.161459544,0.024961324051839828
M2.2,407257.09413941693,0.027805162238082354
M2.2,409771.02681928984,0.030972998286486968
M2.2,412284.9594991628,0.0345017452025803
M2.2,414798.89217903576,0.03843252148252991
M2.2,417312.8248589087,0.04281113024377265
M2.2,419826.7575387816,0.04768859294289053
M2.2,422340.6902186546,0.05312174389984757
M2.2,424854.62289852754,0.059173892556242565
M2.2,427368.5555784005,0.06591556118449995
M2.2,429882.4882582734,0.0734253066441071
M2.2,432396.42093814636,0.08179063576035997
M2.2,434910.3536180193,0.09110902499200897
M2.2,437424.2862978922,0.10148905626941604
M2.2,439938.2189777652,0.11305168223850677
M2.2,442452.15165763814,0.12593163565368326
M2.2,444966.0843375111,0.14027899934257096
